Census Block Group,GEOID1,2007 Average Sales Price,2007 Count of Sales,2017 Average Sales Price,2017 Count of Sales,Average Sales Price,Count of Sales,Tier 1 - Sample Size,Tier 2 - Direction,Tier 3 - Price Bucket,BUCKET
1.001,420710001001,NA,NA,275000,1,187846,11,1,NA,5,NA
1.002,420710001002,NA,NA,162500,2,273492,6,1,NA,3,NA
1.003,420710001003,43000,2,200167,6,143386,53,2,2,4,8
2.001,420710002001,93287,23,89904,38,87383,215,3,1,2,3
2.002,420710002002,82225,13,123253,30,103647,173,3,2,2,4
3.001,420710003001,100218,11,121447,19,104623,137,3,2,2,4
3.002,420710003002,85265,17,102646,31,87409,194,3,2,2,4
3.003,420710003003,97996,14,141928,40,107399,189,3,2,3,6
3.004,420710003004,92311,14,140005,33,107564,162,3,2,3,6
4.001,420710004001,122260,5,122132,28,104799,139,3,1,2,3
4.002,420710004002,81883,6,94714,7,93008,54,2,2,2,4
4.003,420710004003,90177,5,159117,6,142291,45,1,2,3,6
4.004,420710004004,102740,3,168750,4,111390,44,1,2,3,6
5.001,420710005001,93271,7,145145,20,126628,113,3,2,3,6
5.002,420710005002,124818,20,133705,22,128724,147,3,2,3,6
5.003,420710005003,107886,7,156109,16,144477,100,3,2,3,6
5.004,420710005004,180000,3,240475,8,210162,60,2,2,5,8
6.001,420710006001,218583,6,194623,11,202041,87,2,1,4,7
6.002,420710006002,55192,3,112919,16,91342,73,2,2,2,4
6.003,420710006003,197488,8,196727,15,171256,92,2,1,4,7
6.004,420710006004,220188,8,167600,9,160270,65,2,1,3,5
7.001,420710007001,96255,11,118279,12,95495,88,2,2,2,4
7.002,420710007002,151600,4,141384,16,159894,89,2,1,3,5
7.003,420710007003,172467,3,148226,16,158952,77,2,1,3,5
8.001,420710008001,63250,4,95367,8,80858,66,2,2,2,4
8.002,420710008002,72090,10,74143,7,71202,71,2,2,1,2
8.003,420710008003,68738,8,61186,7,63653,49,1,1,1,1
8.004,420710008004,75000,1,84200,5,61529,18,1,2,2,4
9.001,420710009001,61514,7,66944,9,85876,43,1,2,1,2
9.002,420710009002,95401,9,62366,14,75693,68,2,1,1,1
9.003,420710009003,58000,1,109900,1,61159,16,1,2,2,4
9.004,420710009004,97715,10,117058,24,100681,165,3,2,2,4
10.001,420710010001,56050,8,53946,23,53287,119,3,1,1,1
10.002,420710010002,66275,6,88924,17,57401,112,3,2,2,4
10.003,420710010003,77038,18,93978,18,65941,104,3,2,2,4
10.004,420710010004,68408,12,70770,20,66078,99,2,2,1,2
11.001,420710011001,73421,6,91972,23,94525,144,3,2,2,4
11.002,420710011002,88177,13,89380,31,85097,211,3,2,2,4
11.003,420710011003,86459,16,88541,16,77618,146,3,2,2,4
12.001,420710012001,91599,17,87022,33,85284,195,3,1,2,3
12.002,420710012002,105353,23,115197,42,110261,281,3,2,2,4
12.003,420710012003,101369,16,110300,18,100988,176,3,2,2,4
12.004,420710012004,86044,14,113507,27,92242,146,3,2,2,4
14.001,420710014001,49437,7,57616,18,58743,79,2,2,1,2
14.002,420710014002,46952,10,62683,33,62779,189,3,2,1,2
14.003,420710014003,65024,12,93684,22,69831,159,3,2,2,4
14.004,420710014004,72831,18,89154,36,69405,158,3,2,2,4
118.052,420710118052,62450,2,NA,NA,66957,7,1,NA,NA,NA
132.021,420710132021,137650,4,170600,5,159633,55,2,2,3,6
133.011,420710133011,267450,2,221073,10,193348,75,2,1,4,7
133.012,420710133012,233167,3,175767,3,203478,23,1,1,4,7
133.013,420710133013,47500,2,NA,NA,54743,10,1,NA,NA,NA
134.002,420710134002,173000,1,160400,7,154318,57,2,1,3,5
135.011,420710135011,NA,NA,125000,1,89125,4,1,NA,2,NA
135.031,420710135031,347467,3,218470,10,210228,87,2,1,4,7
147.001,420710147001,86258,12,47281,34,56655,174,3,1,1,1
147.002,420710147002,112544,9,55938,13,79938,85,2,1,2,3
147.003,420710147003,45518,14,65589,22,60842,128,3,2,1,2
